subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,discovery,tier,tier_group,Tier1,t1_net,10,131,131,-0.07523766583225575,-0.16,10.0687361173023,0.2749164855242184,0.08289043919700037,49.61832061068702
all,discovery,tier,tier_group,Tier2,t1_net,10,49,38,-2.5258914406532864,-0.9313533174463826,9.268269537323334,-0.6971361013275559,-0.3117687424275193,39.473684210526315
all,discovery,tier,tier_group,Tier1,t1_net,20,131,131,2.48766638413718,-0.860636942675148,13.454437165123162,0.7079055213821146,0.21344154558594416,45.80152671755725
all,discovery,tier,tier_group,Tier2,t1_net,20,49,38,-4.798712142321175,-4.383991287021961,9.566172371514224,-1.8479846464163892,-0.8264438581525918,28.947368421052634
all,discovery,entry,entry_flag_group,可直接观察,t1_net,5,138,138,-0.4527207766342881,-0.9159134116686849,7.03103473590655,0.03701601786616466,0.011160749317741827,43.47826086956522
all,discovery,entry,entry_flag_group,资金流背离,t1_net,5,2,2,-2.1156194125159744,-2.1156194125159744,8.003491504809428,,,50.0
all,discovery,entry,entry_flag_group,追高风险，周一确认,t1_net,5,40,29,-0.4237260250259515,1.5434068136272618,9.968336924293753,-0.2987656509714059,-0.13361206098280792,58.620689655172406
all,discovery,entry,entry_flag_group,可直接观察,t1_net,10,138,138,-0.169989986718234,-0.5445980141038541,10.023663313280048,0.1499206299776544,0.04520277072450795,48.55072463768116
all,discovery,entry,entry_flag_group,资金流背离,t1_net,10,2,2,-9.599091728645488,-9.599091728645488,5.954310820843437,,,0.0
all,discovery,entry,entry_flag_group,追高风险，周一确认,t1_net,10,40,29,-2.1787312877394185,-0.732022880915235,9.400882868961075,-0.7177227738190057,-0.3209753822518006,44.827586206896555
all,discovery,entry,entry_flag_group,可直接观察,t1_net,20,138,138,2.1361599703945378,-0.9583460559796596,13.298844647674452,0.5801123935538758,0.1749104677866539,44.927536231884055
all,discovery,entry,entry_flag_group,资金流背离,t1_net,20,2,2,-12.043968146645636,-12.043968146645636,8.795673149647849,,,0.0
all,discovery,entry,entry_flag_group,追高风险，周一确认,t1_net,20,40,29,-4.385134645082381,-4.126189856957092,10.03555749488065,-1.9017598447830562,-0.8504928579628723,31.03448275862069
all,discovery,technical_flag,l4_flag_group,LOCK|OVERHEAT,t1_net,5,4,0,,,,,,
all,discovery,technical_flag,l4_flag_group,LOCK|突破型|OVERHEAT,t1_net,5,2,1,-7.532400756143661,-7.532400756143661,,,,0.0
all,discovery,technical_flag,l4_flag_group,OVERHEAT,t1_net,5,19,15,-1.3019952510260069,0.5210442678773842,7.15007967304668,-0.4616203549640467,-0.2064428986994382,53.333333333333336
all,discovery,technical_flag,l4_flag_group,none,t1_net,5,146,146,-0.07567295377392659,-0.5288689314157945,7.080207321371987,0.1846094326503749,0.05566183826015264,45.89041095890411
