strategy_variant,subset,period_split,trade_date,window,variant,holding_count,return_pct,win_rate_pct
no_lock,all,all,20250331,20,excess_eligible,15,3.16274227986382,53.333333333333336
no_lock,all,all,20250430,20,excess_eligible,15,4.585625922618937,60.0
no_lock,all,all,20250530,20,excess_eligible,15,5.283238952597114,73.33333333333333
no_lock,all,all,20250630,20,excess_eligible,15,3.150131397054658,60.0
no_lock,all,all,20250731,20,excess_eligible,15,0.44193921733427693,53.333333333333336
no_lock,all,all,20250829,20,excess_eligible,15,-3.668328295269608,20.0
no_lock,all,all,20250930,20,excess_eligible,15,-2.4230855476038093,40.0
no_lock,all,all,20251031,20,excess_eligible,15,-3.429390602364133,33.33333333333333
no_lock,all,all,20251128,20,excess_eligible,15,-1.1139501182334872,20.0
no_lock,all,all,20251231,20,excess_eligible,15,0.057888098638628566,46.666666666666664
no_lock,all,discovery,20240131,5,close,15,-3.6710137780846415,53.333333333333336
no_lock,all,discovery,20240229,5,close,15,1.5627793165776256,53.333333333333336
no_lock,all,discovery,20240329,5,close,15,0.5030316024596891,53.333333333333336
no_lock,all,discovery,20240430,5,close,15,2.9423699976716193,86.66666666666667
no_lock,all,discovery,20240531,5,close,15,-1.5764301189786436,40.0
no_lock,all,discovery,20240628,5,close,15,-1.0260423317477119,40.0
no_lock,all,discovery,20240731,5,close,15,-4.968550305594496,0.0
no_lock,all,discovery,20240830,5,close,15,-3.1144925067911204,33.33333333333333
no_lock,all,discovery,20240930,5,close,4,-7.010799885414179,0.0
no_lock,all,discovery,20241031,5,close,14,10.268346643879314,85.71428571428571
no_lock,all,discovery,20241129,5,close,15,2.3756403181074233,53.333333333333336
no_lock,all,discovery,20241231,5,close,15,-1.7246726470142295,40.0
no_lock,all,discovery,20240131,5,t1,15,-1.8712003382525075,60.0
no_lock,all,discovery,20240229,5,t1,15,1.4935590065507458,46.666666666666664
no_lock,all,discovery,20240329,5,t1,15,0.3228929938959652,53.333333333333336
no_lock,all,discovery,20240430,5,t1,15,1.673870951392128,66.66666666666666
no_lock,all,discovery,20240531,5,t1,15,-1.7041092371790272,33.33333333333333
no_lock,all,discovery,20240628,5,t1,15,-0.8601248648145194,40.0
no_lock,all,discovery,20240731,5,t1,15,-5.10691770548124,13.333333333333334
no_lock,all,discovery,20240830,5,t1,15,-2.8180188473050505,33.33333333333333
no_lock,all,discovery,20240930,5,t1,4,-14.963723249320978,0.0
no_lock,all,discovery,20241031,5,t1,14,10.055814205003356,85.71428571428571
no_lock,all,discovery,20241129,5,t1,15,1.8551212683724756,53.333333333333336
no_lock,all,discovery,20241231,5,t1,15,-1.3523309500413505,46.666666666666664
no_lock,all,discovery,20240131,5,t1_net,15,-2.031200338252507,60.0
no_lock,all,discovery,20240229,5,t1_net,15,1.3335590065507459,46.666666666666664
no_lock,all,discovery,20240329,5,t1_net,15,0.16289299389596507,53.333333333333336
no_lock,all,discovery,20240430,5,t1_net,15,1.5138709513921276,66.66666666666666
no_lock,all,discovery,20240531,5,t1_net,15,-1.864109237179027,33.33333333333333
no_lock,all,discovery,20240628,5,t1_net,15,-1.0201248648145191,40.0
no_lock,all,discovery,20240731,5,t1_net,15,-5.266917705481239,6.666666666666667
no_lock,all,discovery,20240830,5,t1_net,15,-2.9780188473050506,33.33333333333333
no_lock,all,discovery,20240930,5,t1_net,4,-15.12372324932098,0.0
no_lock,all,discovery,20241031,5,t1_net,14,9.895814205003356,85.71428571428571
no_lock,all,discovery,20241129,5,t1_net,15,1.6951212683724757,53.333333333333336
no_lock,all,discovery,20241231,5,t1_net,15,-1.5123309500413502,46.666666666666664
no_lock,all,discovery,20240131,5,excess_csi300,15,-5.784522694216796,20.0
no_lock,all,discovery,20240229,5,excess_csi300,15,1.72207083075083,53.333333333333336
no_lock,all,discovery,20240329,5,excess_csi300,15,2.0516363025403743,60.0
no_lock,all,discovery,20240430,5,excess_csi300,15,1.4442185959696556,66.66666666666666
no_lock,all,discovery,20240531,5,excess_csi300,15,-1.2963347493443715,33.33333333333333
no_lock,all,discovery,20240628,5,excess_csi300,15,0.49466883248033455,60.0
no_lock,all,discovery,20240731,5,excess_csi300,15,-2.83223108116245,33.33333333333333
no_lock,all,discovery,20240830,5,excess_csi300,15,-1.78692584333048,33.33333333333333
no_lock,all,discovery,20240930,5,excess_csi300,4,-8.038273584907849,0.0
no_lock,all,discovery,20241031,5,excess_csi300,14,3.4832289668235057,50.0
no_lock,all,discovery,20241129,5,excess_csi300,15,1.2089490821099256,53.333333333333336
no_lock,all,discovery,20241231,5,excess_csi300,15,-0.5361876358627533,46.666666666666664
no_lock,all,discovery,20240131,5,excess_csi1000,15,-2.8690376140489837,53.333333333333336
no_lock,all,discovery,20240229,5,excess_csi1000,15,3.319991935435515,73.33333333333333
no_lock,all,discovery,20240329,5,excess_csi1000,15,1.9444777533363187,60.0
no_lock,all,discovery,20240430,5,excess_csi1000,15,2.2554746835182513,66.66666666666666
no_lock,all,discovery,20240531,5,excess_csi1000,15,0.7754789022676486,66.66666666666666
no_lock,all,discovery,20240628,5,excess_csi1000,15,1.7602541846463888,80.0
no_lock,all,discovery,20240731,5,excess_csi1000,15,-2.342034362161483,40.0
no_lock,all,discovery,20240830,5,excess_csi1000,15,-2.2821926519338027,33.33333333333333
no_lock,all,discovery,20240930,5,excess_csi1000,4,-5.511442049174984,25.0
no_lock,all,discovery,20241031,5,excess_csi1000,14,2.068173789120133,50.0
