strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
no_lock,tier1_only,all,20250630,20,t1,15,15,8.735276181946043,6.620689655172418,16.215336185111955,73.33333333333333
no_lock,tier1_only,all,20250630,20,t1_net,15,15,8.575276181946043,6.460689655172418,16.215336185111955,73.33333333333333
no_lock,tier1_only,all,20250630,20,excess_csi300,15,15,3.838652951834781,1.7240664250611548,16.215336185111955,60.0
no_lock,tier1_only,all,20250630,20,excess_csi1000,15,15,3.146570951559473,1.0319844247858478,16.215336185111955,60.0
no_lock,tier1_only,all,20250630,20,excess_eligible,15,15,3.150131397054658,1.0355448702810328,16.215336185111955,60.0
no_lock,tier1_only,all,20250731,5,close,15,15,2.6232109458783155,1.3686131386861256,6.300629026631999,66.66666666666666
no_lock,tier1_only,all,20250731,5,t1,15,15,2.8608229632276543,1.3223894208846287,6.213160537656281,73.33333333333333
no_lock,tier1_only,all,20250731,5,t1_net,15,15,2.700822963227654,1.1623894208846288,6.213160537656281,73.33333333333333
no_lock,tier1_only,all,20250731,5,excess_csi300,15,15,1.3876182315833148,-0.150815310759711,6.213160537656281,46.666666666666664
no_lock,tier1_only,all,20250731,5,excess_csi1000,15,15,-0.012702328535802348,-1.551135870878828,6.213160537656281,33.33333333333333
no_lock,tier1_only,all,20250731,5,excess_eligible,15,15,0.3445630308662148,-1.1938705114768111,6.213160537656281,33.33333333333333
no_lock,tier1_only,all,20250731,10,close,15,15,4.621240902831157,3.4810126582278444,8.868117739475199,73.33333333333333
no_lock,tier1_only,all,20250731,10,t1,15,15,4.868835089803455,3.6997885835095,8.88726864548322,80.0
no_lock,tier1_only,all,20250731,10,t1_net,15,15,4.708835089803457,3.5397885835095,8.88726864548322,80.0
no_lock,tier1_only,all,20250731,10,excess_csi300,15,15,1.9493138928087543,0.7802673865147991,8.88726864548322,60.0
no_lock,tier1_only,all,20250731,10,excess_csi1000,15,15,0.2812211998118516,-0.887825306482104,8.88726864548322,40.0
no_lock,tier1_only,all,20250731,10,excess_eligible,15,15,0.46027394937758453,-0.7087725569163705,8.88726864548322,40.0
no_lock,tier1_only,all,20250731,20,close,15,15,9.871315618699015,9.909365558912398,9.61385468317328,86.66666666666667
no_lock,tier1_only,all,20250731,20,t1,15,15,10.116503379588975,9.710494571773243,9.436920929503218,86.66666666666667
no_lock,tier1_only,all,20250731,20,t1_net,15,15,9.956503379588973,9.550494571773243,9.436920929503218,86.66666666666667
no_lock,tier1_only,all,20250731,20,excess_csi300,15,15,0.03362793758982434,-0.37238087022590705,9.43692092950322,46.666666666666664
no_lock,tier1_only,all,20250731,20,excess_csi1000,15,15,-1.5264223384111906,-1.9324311462269215,9.43692092950322,40.0
no_lock,tier1_only,all,20250731,20,excess_eligible,15,15,0.44193921733427693,0.03593040951854576,9.43692092950322,53.333333333333336
